time,win,loss
2022-07-22 20:29:44.944580,0,"1
"
2022-07-22 20:31:21.292163,1,"0
"
2022-07-22 20:33:50.662264,1,"0
"
2022-07-22 20:35:44.816335,0,"1
"
2022-07-22 20:37:17.705425,0,"1
"
2022-07-22 20:39:43.694337,1,"0
"
2022-07-22 20:41:19.455763,1,"0
"
2022-07-22 20:43:13.956315,1,"0
"
2022-07-22 20:44:49.780220,1,"0
"
2022-07-22 20:47:47.801963,1,"0
"
2022-07-22 20:49:23.614260,1,"0
"
2022-07-22 20:50:56.495653,1,"0
"
2022-07-22 20:52:01.406673,1,"0
"
2022-07-22 20:53:44.954615,0,"1
"
2022-07-22 21:02:52.431026,1,"0
"
2022-07-22 21:06:54.191266,0,"1
"
2022-07-22 21:08:48.320371,0,"1
"
2022-07-22 21:12:21.179833,1,"0
"
2022-07-22 21:13:25.168432,1,"0
"
2022-07-22 21:15:19.949635,1,"0
"
2022-07-22 21:16:55.934569,1,"0
"
2022-07-22 21:19:21.935633,0,"1
"
2022-07-22 21:20:54.849696,1,"0
"
2022-07-22 21:21:58.799972,1,"0
"
2022-07-22 21:23:31.684180,1,"0
"
2022-07-22 21:25:04.910679,1,"0
"
2022-07-22 21:26:08.468985,1,"0
"
2022-07-22 21:27:12.426672,1,"0
"
2022-07-22 21:29:17.368865,1,"0
"
2022-07-22 21:31:54.213930,0,"1
"
2022-07-22 21:34:23.047683,1,"0
"
2022-07-22 21:38:50.357543,1,"0
"
2022-07-22 21:40:23.215881,1,"0
"
2022-07-22 21:41:56.206191,1,"0
"
2022-07-22 21:43:53.200964,1,"0
"
2022-07-22 21:45:47.319350,1,"0
"
2022-07-22 21:47:52.112828,1,"0
"
2022-07-22 21:49:25.201336,1,"0
"
2022-07-22 21:50:58.449748,1,"0
"
2022-07-22 21:53:24.423874,0,"1
"
2022-07-22 23:46:17.323747,0,"1
"
2022-07-22 23:48:47.527005,0,"1
"
2022-07-22 23:50:12.726877,1,"0
"
2022-07-22 23:51:16.584546,1,"0
"
2022-07-25 10:43:17.947163,1,"0
"
2022-07-25 10:44:21.758730,1,"0
"
2022-07-25 10:45:25.593381,1,"0
"
2022-07-25 13:55:54.803085,0,"1
"
2022-07-25 13:57:27.666614,0,"1
"
2022-07-25 16:26:30.924321,1,"0
"
2022-07-25 16:30:34.719371,1,"0
"
2022-07-25 16:32:07.941268,1,"0
"
2022-07-25 16:33:33.329627,1,"0
"
2022-07-25 16:35:29.993015,1,"0
"
2022-07-25 16:37:55.769175,1,"0
"
2022-07-25 16:40:03.106150,1,"0
"
2022-07-25 16:41:35.890490,1,"0
"
2022-07-25 16:43:01.195415,1,"0
"
2022-07-25 16:44:36.786436,1,"0
"
2022-07-25 16:46:30.764838,1,"0
"
2022-07-25 16:47:34.685182,1,"0
"
2022-07-25 16:50:00.373867,0,"1
"
2022-07-25 16:51:04.555235,1,"0
"
2022-07-25 16:54:04.768316,1,"0
"
2022-07-25 16:55:58.667255,1,"0
"
2022-07-25 16:57:31.615270,0,"1
"
2022-07-25 17:01:35.557579,1,"0
"
2022-07-25 17:03:08.496937,1,"0
"
2022-07-25 17:05:29.683560,0,"1
"
2022-07-25 17:08:06.373224,1,"0
"
2022-07-25 17:10:00.308997,1,"0
"
2022-07-25 17:11:04.160364,1,"0
"
2022-07-25 17:12:08.028863,1,"0
"
2022-07-25 17:14:02.896957,1,"0
"
2022-07-25 17:15:06.849264,1,"0
"
2022-07-25 17:20:00.849577,0,"1
"
2022-07-25 17:21:36.447220,1,"0
"
2022-07-25 17:23:09.232783,0,"1
"
2022-07-25 17:26:29.330860,1,"0
"
2022-07-25 17:28:04.910913,1,"0
"
2022-07-25 17:29:58.779938,0,"1
"
2022-07-25 17:31:31.781634,1,"0
"
2022-07-25 17:32:35.635119,1,"0
"
2022-07-25 17:34:08.401094,0,"1
"
2022-07-25 17:35:12.275931,1,"0
"
2022-07-25 17:38:31.174195,0,"1
"
2022-07-25 17:39:34.971602,1,"0
"
2022-07-25 17:41:10.526266,1,"0
"
2022-07-25 17:42:15.043309,1,"0
"
2022-07-25 17:43:18.937771,1,"0
"
2022-07-25 17:44:51.652055,0,"1
"
2022-07-25 17:47:38.440165,0,"1
"
2022-07-25 17:48:42.318330,1,"0
"
2022-07-25 17:50:15.099360,1,"0
"
2022-07-25 17:51:19.017458,1,"0
"
2022-07-25 17:53:34.310972,0,"1
"
2022-07-25 17:55:38.844817,0,"1
"
2022-07-25 17:57:11.661905,0,"1
"
2022-07-25 17:58:36.706139,1,"0
"
2022-07-25 17:59:40.676711,1,"0
"
2022-07-25 18:01:05.731918,1,"0
"
2022-07-25 18:02:41.347461,1,"0
"
2022-07-25 18:04:14.200520,1,"0
"
2022-07-25 18:05:47.507144,1,"0
"
2022-07-25 18:09:09.506485,1,"0
"
2022-07-25 18:10:13.391214,1,"0
"
2022-07-25 18:11:46.195890,0,"1
"
2022-07-25 18:15:04.754817,0,"1
"
2022-07-25 18:16:18.835001,1,"0
"
2022-07-25 18:17:51.616382,0,"1
"
2022-07-25 18:21:10.340176,0,"1
"
2022-07-25 18:24:39.359495,1,"0
"
2022-07-25 18:26:44.005123,1,"0
"
2022-07-25 18:28:19.633939,1,"0
"
2022-07-25 18:29:52.422814,0,"1
"
2022-07-25 18:32:18.024345,0,"1
"
2022-07-25 18:34:12.182580,0,"1
"
2022-07-25 18:35:16.270898,1,"0
"
2022-07-25 18:36:20.178680,1,"0
"
2022-07-25 18:37:52.944995,0,"1
"
2022-07-25 18:39:17.928527,1,"0
"
2022-07-25 18:40:51.098047,1,"0
"
2022-07-25 18:44:41.368846,1,"0
"
2022-07-25 18:45:45.356870,1,"0
"
2022-07-25 18:47:18.115071,1,"0
"
2022-07-25 18:48:51.160706,0,"1
"
2022-07-25 18:50:47.913405,1,"0
"
2022-07-25 18:52:42.390742,0,"1
"
2022-07-25 18:54:15.581013,1,"0
"
2022-07-25 18:55:51.122349,1,"0
"
2022-07-25 18:58:16.780271,0,"1
"
2022-07-25 18:59:20.698796,1,"0
"
2022-07-25 19:00:45.746384,1,"0
"
2022-07-25 19:04:15.246690,0,"1
"
2022-07-25 19:07:12.959320,1,"0
"
2022-08-15 13:07:39.243341,1,"0
"
2022-08-15 13:09:44.145744,1,"0
"
2022-08-15 13:11:52.410640,1,"0
"
2022-08-15 13:12:56.463233,1,"0
"
2022-08-15 13:14:00.390976,1,"0
"
2022-08-15 13:16:48.356889,0,"1
"
2022-08-15 13:18:24.330610,1,"0
"
2022-08-15 13:19:28.331827,1,"0
"
2022-08-15 13:24:44.736638,0,"1
"
2022-08-15 13:25:49.637136,1,"0
"
2022-08-15 13:26:53.697319,1,"0
"
2022-08-15 13:27:57.664485,1,"0
"
